id,Degree,Betweenness,Eigenvector,Similarity
EP-1226852-A2,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
JP-2000333464-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
JP-2001212508-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
JP-2002205008-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
JP-2003199974-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
JP-2003345233-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7141242590312263
JP-2004174309-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
JP-2012125135-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
JP-H03113337-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
KR-20100029158-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
KR-20100044381-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
KR-20100125941-A,0.01816294758692268,0.0,8.774205963673273e-10,0.7142388800945243
US-2002024503-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.7194015888334496
US-2002080112-A1,0.019546791212592975,0.0004639008773738627,8.77443961731004e-10,0.6950532663354796
US-2003030619-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.7041505736602308
US-2003038774-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.6916040825100721
US-2004108992-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.7064632574156847
US-2004164959-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.7204373183863895
US-2004169480-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.6787108553187658
US-2004183487-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.6879776716404237
US-2004183782-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.7092687867392732
US-2004227727-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.7067598872347026
US-2004233161-A1,0.01816294758692268,0.0,8.774205963673273e-10,0.6942529948819803
